TIMESTAMP        home1-RQ         home1-RD         home1-WR         
1717839611 0 0 0
1717839621 0 0 0
1717839631 0 0 0
1717839642 0 0 0
1717839652 0 0 0
1717839662 0 0 0
1717839672 0 0 0
1717839683 0 0 0
1717839693 0 0 0
1717839703 0 0 0
1717839714 0 0 0
1717839724 0 0 0
1717839734 0 0 0
1717839744 0 0 0
1717839755 0 0 0
1717839765 0 0 0
1717839775 0 0 0
1717839786 0 0 0
1717839796 0 0 0
1717839806 0 0 0
1717839816 0 0 0
1717839827 0 0 0
1717839837 0 0 0
1717839847 0 0 0
1717839857 0 0 0
1717839868 0 0 0
1717839878 0 0 0
1717839888 0 0 0
1717839899 0 0 0
1717839909 0 0 0
1717839919 0 0 0
1717839929 0 0 0
1717839940 0 0 0
1717839950 0 0 0
1717839960 0 0 0
1717839971 0 0 0
1717839981 0 0 0
1717839991 0 0 0
1717840002 0 0 0
1717840012 0 0 0
1717840022 0 0 0
1717840032 0 0 0
1717840043 0 0 0
1717840053 0 0 0
1717840063 0 0 0
1717840074 0 0 0
1717840084 0 0 0
1717840094 0 0 0
1717840104 0 0 0
1717840115 0 0 0
1717840125 0 0 0
1717840135 0 0 0
1717840146 0 0 0
1717840156 0 0 0
1717840166 0 0 0
1717840176 0 0 0
1717840187 0 0 0
1717840197 0 0 0
1717840207 0 0 0
1717840218 0 0 0
1717840228 0 0 0
1717840239 0 0 0
1717840250 0 0 0
1717840260 0 0 0
1717840270 0 0 0
1717840281 0 0 0
1717840291 0 0 0
1717840301 0 0 0
1717840312 0 0 0
1717840322 0 0 0
1717840332 0 0 0
1717840342 0 0 0
1717840353 0 0 0
1717840363 0 0 0
1717840373 0 0 0
1717840384 0 0 0
1717840394 0 0 0
1717840404 0 0 0
1717840414 0 0 0
1717840425 0 0 0
1717840435 0 0 0
1717840445 0 0 0
1717840456 0 0 0
1717840466 0 0 0
1717840476 0 0 0
1717840486 0 0 0
1717840497 0 0 0
1717840507 0 0 0
1717840517 0 0 0
1717840528 0 0 0
1717840538 0 0 0
1717840548 0 0 0
1717840558 0 0 0
1717840569 0 0 0
1717840579 0 0 0
1717840589 0 0 0
1717840600 0 0 0
1717840610 0 0 0
1717840620 0 0 0
1717840630 0 0 0
1717840641 0 0 0
1717840651 0 0 0
1717840661 0 0 0
1717840671 0 0 0
1717840682 0 0 0
1717840692 0 0 0
1717840702 0 0 0
1717840713 0 0 0
1717840723 0 0 0
1717840733 0 0 0
1717840743 0 0 0
1717840754 0 0 0
1717840764 0 0 0
1717840774 0 0 0
1717840785 0 0 0
1717840795 0 0 0
1717840805 0 0 0
1717840815 0 0 0
1717840826 0 0 0
1717840836 0 0 0
1717840846 0 0 0
1717840856 0 0 0
1717840867 0 0 0
1717840877 0 0 0
1717840887 0 0 0
1717840898 0 0 0
1717840908 0 0 0
1717840918 0 0 0
1717840929 0 0 0
1717840939 0 0 0
1717840949 0 0 0
1717840959 0 0 0
1717840970 0 0 0
1717840980 0 0 0
1717840990 0 0 0
1717841001 0 0 0
1717841011 0 0 0
1717841021 0 0 0
1717841031 0 0 0
1717841042 0 0 0
1717841052 0 0 0
1717841062 0 0 0
1717841073 0 0 0
1717841083 0 0 0
1717841093 0 0 0
1717841103 0 0 0
1717841114 0 0 0
1717841124 0 0 0
1717841134 0 0 0
1717841145 0 0 0
1717841155 0 0 0
1717841165 0 0 0
1717841175 0 0 0
1717841186 0 0 0
1717841196 0 0 0
1717841206 0 0 0
1717841217 0 0 0
1717841227 0 0 0
1717841237 0 0 0
1717841247 0 0 0
1717841258 0 0 0
1717841268 0 0 0
1717841278 0 0 0
1717841289 0 0 0
1717841299 0 0 0
1717841309 0 0 0
1717841319 0 0 0
1717841330 0 0 0
1717841340 0 0 0
1717841350 0 0 0
1717841361 0 0 0
1717841371 0 0 0
1717841381 0 0 0
1717841391 0 0 0
1717841402 0 0 0
1717841412 0 0 0
1717841422 0 0 0
1717841433 0 0 0
1717841443 0 0 0
1717841453 0 0 0
1717841464 0 0 0
1717841474 0 0 0
1717841484 0 0 0
1717841494 0 0 0
1717841505 0 0 0
1717841515 0 0 0
1717841525 0 0 0
1717841536 0 0 0
1717841546 0 0 0
1717841556 0 0 0
1717841566 0 0 0
1717841577 0 0 0
1717841587 0 0 0
1717841597 0 0 0
1717841608 0 0 0
1717841618 0 0 0
1717841628 0 0 0
1717841638 0 0 0
1717841649 0 0 0
1717841659 0 0 0
1717841669 0 0 0
1717841680 0 0 0
1717841690 0 0 0
1717841700 0 0 0
1717841710 0 0 0
1717841721 0 0 0
1717841731 0 0 0
1717841741 0 0 0
1717841752 0 0 0
1717841762 0 0 0
1717841773 0 0 0
1717841783 0 0 0
1717841794 0 0 0
1717841805 0 0 0
1717841815 0 0 0
1717841825 0 0 0
1717841836 0 0 0
1717841846 0 0 0
1717841856 0 0 0
1717841866 0 0 0
1717841877 0 0 0
1717841887 0 0 0
1717841897 0 0 0
1717841908 0 0 0
1717841918 0 0 0
1717841928 0 0 0
1717841938 0 0 0
1717841949 0 0 0
1717841959 0 0 0
1717841969 0 0 0
1717841980 0 0 0
1717841990 0 0 0
1717842000 0 0 0
1717842010 0 0 0
1717842021 0 0 0
1717842031 0 0 0
1717842041 0 0 0
1717842052 0 0 0
1717842062 0 0 0
1717842072 0 0 0
1717842083 0 0 0
1717842093 0 0 0
1717842103 0 0 0
1717842113 0 0 0
1717842124 0 0 0
1717842134 0 0 0
1717842144 0 0 0
1717842155 0 0 0
1717842165 0 0 0
1717842175 0 0 0
1717842185 0 0 0
1717842196 0 0 0
1717842206 0 0 0
1717842216 0 0 0
1717842227 0 0 0
1717842237 0 0 0
1717842247 0 0 0
1717842258 0 0 0
1717842268 0 0 0
1717842278 0 0 0
1717842289 0 0 0
1717842299 0 0 0
1717842309 0 0 0
1717842319 0 0 0
1717842330 0 0 0
1717842340 0 0 0
1717842350 0 0 0
1717842361 0 0 0
1717842371 0 0 0
1717842381 0 0 0
1717842392 0 0 0
1717842402 0 0 0
1717842412 0 0 0
1717842422 0 0 0
1717842433 0 0 0
1717842443 0 0 0
1717842453 0 0 0
1717842464 0 0 0
1717842474 0 0 0
1717842484 0 0 0
1717842495 0 0 0
1717842505 0 0 0
1717842515 0 0 0
1717842525 0 0 0
1717842536 0 0 0
1717842546 0 0 0
1717842556 0 0 0
1717842567 0 0 0
1717842577 0 0 0
1717842587 0 0 0
1717842597 0 0 0
1717842608 0 0 0
1717842618 0 0 0
1717842628 0 0 0
1717842639 0 0 0
1717842649 0 0 0
1717842659 0 0 0
1717842669 0 0 0
1717842680 0 0 0
1717842690 0 0 0
1717842700 0 0 0
1717842711 0 0 0
1717842721 0 0 0
1717842731 0 0 0
1717842742 0 0 0
1717842752 0 0 0
1717842762 0 0 0
1717842772 0 0 0
1717842783 0 0 0
1717842793 0 0 0
1717842803 0 0 0
1717842814 0 0 0
1717842824 0 0 0
1717842834 0 0 0
1717842845 0 0 0
1717842855 0 0 0
1717842865 0 0 0
1717842876 0 0 0
1717842886 0 0 0
1717842896 0 0 0
1717842906 0 0 0
1717842917 0 0 0
1717842927 0 0 0
1717842937 0 0 0
1717842948 0 0 0
1717842958 0 0 0
1717842968 0 0 0
1717842978 0 0 0
1717842989 0 0 0
1717842999 0 0 0
1717843009 0 0 0
1717843020 0 0 0
1717843030 0 0 0
1717843040 0 0 0
1717843050 0 0 0
1717843061 0 0 0
1717843071 0 0 0
1717843081 0 0 0
1717843092 0 0 0
1717843102 0 0 0
1717843112 0 0 0
1717843123 0 0 0
1717843133 0 0 0
1717843143 0 0 0
1717843153 0 0 0
1717843164 0 0 0
1717843174 0 0 0
1717843184 0 0 0
1717843195 0 0 0
1717843205 0 0 0
1717843215 0 0 0
1717843225 0 0 0
1717843236 0 0 0
1717843246 0 0 0
1717843256 0 0 0
1717843267 0 0 0
1717843277 0 0 0
1717843287 0 0 0
1717843298 0 0 0
1717843308 0 0 0
1717843318 0 0 0
1717843328 0 0 0
1717843339 0 0 0
1717843349 0 0 0
1717843359 0 0 0
1717843370 0 0 0
1717843380 0 0 0
1717843390 0 0 0
1717843401 0 0 0
1717843411 0 0 0
1717843421 0 0 0
1717843431 0 0 0
1717843442 0 0 0
1717843452 0 0 0
1717843462 0 0 0
1717843473 0 0 0
1717843483 0 0 0
1717843493 0 0 0
1717843504 0 0 0
1717843514 0 0 0
1717843524 0 0 0
1717843534 0 0 0
1717843545 0 0 0
1717843555 0 0 0
1717843565 0 0 0
1717843576 0 0 0
1717843586 0 0 0
1717843596 0 0 0
1717843606 0 0 0
1717843617 0 0 0
1717843627 0 0 0
1717843637 0 0 0
1717843648 0 0 0
1717843658 0 0 0
1717843668 0 0 0
1717843679 0 0 0
1717843689 0 0 0
1717843699 0 0 0
1717843710 0 0 0
1717843720 0 0 0
1717843730 0 0 0
1717843740 0 0 0
1717843751 0 0 0
1717843761 0 0 0
1717843772 0 0 0
1717843782 0 0 0
1717843792 0 0 0
1717843803 0 0 0
1717843813 0 0 0
1717843823 0 0 0
1717843834 0 0 0
1717843844 0 0 0
1717843855 0 0 0
1717843865 0 0 0
1717843878 0 0 0
1717843888 0 0 0
1717843899 0 0 0
1717843909 0 0 0
1717843919 0 0 0
1717843930 0 0 0
1717843940 0 0 0
1717843950 0 0 0
1717843960 0 0 0
1717843971 0 0 0
1717843981 0 0 0
1717843991 0 0 0
1717844002 0 0 0
1717844012 0 0 0
1717844022 0 0 0
1717844032 0 0 0
1717844043 0 0 0
1717844053 0 0 0
1717844063 0 0 0
1717844074 0 0 0
1717844084 0 0 0
1717844094 0 0 0
1717844105 0 0 0
1717844115 0 0 0
1717844125 0 0 0
1717844136 0 0 0
1717844146 0 0 0
1717844156 0 0 0
1717844166 0 0 0
1717844177 0 0 0
1717844187 0 0 0
1717844197 0 0 0
1717844208 0 0 0
1717844218 0 0 0
1717844228 0 0 0
1717844239 0 0 0
1717844249 0 0 0
1717844259 0 0 0
1717844270 0 0 0
1717844280 0 0 0
1717844290 0 0 0
1717844301 0 0 0
1717844311 0 0 0
1717844321 0 0 0
1717844331 0 0 0
1717844342 0 0 0
1717844352 0 0 0
1717844362 0 0 0
1717844373 0 0 0
1717844383 0 0 0
1717844393 0 0 0
1717844403 0 0 0
1717844414 0 0 0
1717844424 0 0 0
1717844434 0 0 0
1717844445 0 0 0
1717844455 0 0 0
1717844465 0 0 0
1717844476 0 0 0
1717844486 0 0 0
1717844496 0 0 0
1717844507 0 0 0
1717844517 0 0 0
1717844527 0 0 0
1717844537 0 0 0
1717844548 0 0 0
1717844558 0 0 0
1717844568 0 0 0
1717844579 0 0 0
1717844589 0 0 0
1717844599 0 0 0
1717844609 0 0 0
1717844620 0 0 0
1717844630 0 0 0
1717844641 0 0 0
1717844651 0 0 0
1717844661 0 0 0
1717844672 0 0 0
1717844682 0 0 0
1717844692 0 0 0
1717844702 0 0 0
1717844713 0 0 0
1717844723 0 0 0
1717844733 0 0 0
1717844744 0 0 0
1717844754 0 0 0
1717844764 0 0 0
1717844775 0 0 0
1717844785 0 0 0
1717844795 0 0 0
1717844806 0 0 0
1717844816 0 0 0
1717844827 0 0 0
1717844838 0 0 0
1717844848 0 0 0
1717844858 0 0 0
1717844869 0 0 0
1717844879 0 0 0
1717844890 0 0 0
1717844900 0 0 0
1717844910 0 0 0
1717844921 0 0 0
1717844931 0 0 0
1717844941 0 0 0
1717844952 0 0 0
1717844962 0 0 0
1717844972 0 0 0
1717844983 0 0 0
1717844993 0 0 0
1717845003 0 0 0
1717845013 0 0 0
1717845024 0 0 0
1717845034 0 0 0
1717845044 0 0 0
1717845055 0 0 0
1717845065 0 0 0
